potěr,fry [fraɪ]
rušit,disturb [dɪˈstɝːb]
brnění,armor [ˈɑːr.mɚ]
Obnovit,refresh [rɪˈfreʃ]
narkoman,addict [ˈæd.ɪkt]
vyčerpat,exhaust [ɪɡˈzɑːst]
nálepka,sticker [ˈstɪk.ɚ]
bobtná,swell [swel]
optický,optic [ˈɑːp.tɪk]
sklad,warehouse [ˈwer.haʊs]
vdova,widow [ˈwɪd.oʊ]
správce,administrator [ədˈmɪn.ə.streɪ.t̬ɚ]
celkem,altogether [ˌɑːl.təˈɡeð.ɚ]
animovat,animate [ˈæn.ə.mət]
posoudit,assess [əˈses]
předpoklad,assumption [əˈsʌmp.ʃən]
ujistit,assure [əˈʃʊr]
košík,basket [ˈbæs.kət]
vousy,beard [bɪrd]
deka,blanket [ˈblæŋ.kɪt]
vědro,bucket [ˈbʌk.ɪt]
okouzlující,charming [ˈtʃɑːr.mɪŋ]
vypočítat,compute [kəmˈpjuːt]
koncentrát,concentrate [ˈkɑːn.sən.treɪt]
kontinent,continent [ˈkɑːn.tən.ənt]
prokletí,curse [kɝːs]
vypouštět,drain [dreɪn]
emise,emission [iˈmɪʃ.ən]
etický,ethical [ˈeθ.ɪ.kəl]
dokonalost,excellence [ˈek.səl.əns]
plamen,flame [fleɪm]
svobodně,freely [ˈfriː.li]
promoce,graduation [ˌɡrædʒ.uˈeɪ.ʃən]
náznak,hint [hɪnt]
horizont,horizon [həˈraɪ.zən]
nepřátelský,hostile [ˈhɑː.stəl]
obyvatel,inhabitant [ɪnˈhæb.ɪ.tənt]
inkoust,ink [ɪŋk]
hostinec,inn [ɪn]
lo,lo [loʊ]
matice,matrix [ˈmeɪ.trɪks]
mizerný,miserable [ˈmɪz.ɚ.ə.bəl]
hybnost,momentum [məˈmen.t̬əm]
opice,monkey [ˈmʌŋ.ki]
motocykl,motorcycle [ˈmoʊ.t̬ɚˌsaɪ.kəl]
celostátní,nationwide [ˌneɪ.ʃənˈwaɪd]
hnízdo,nest [nest]
hezky,nicely [ˈnaɪs.li]
devátý,ninth [naɪnθ]
jmenování,nomination [ˌnɑː.məˈneɪ.ʃən]
pozoruhodný,notable [ˈnoʊ.t̬ə.bəl]
povinnost,obligation [ˌɑː.bləˈɡeɪ.ʃən]
optický,optical [ˈɑːp.tɪ.kəl]
výhled,outlook [ˈaʊt.lʊk]
penny,penny [ˈpen.i]
Petty,petty [ˈpet̬.i]
množství,quantity [ˈkwɑːn.t̬ə.t̬i]
kvantum,quantum [ˈkwɑːn.t̬əm]
duha,rainbow [ˈreɪn.boʊ]
rákos,reed [riːd]
panování,reign [reɪn]
skenovat,scan [skæn]
podání,submission [səbˈmɪʃ.ən]
slunný,sunny [ˈsʌn.i]
testament,testament [ˈtes.tə.mənt]
Toe,toe [toʊ]
obrovský,tremendous [trɪˈmen.dəs]
ubytování,accommodation [əˌkɑː.məˈdeɪ.ʃən]
rozkošný,adorable [əˈdɔːr.ə.bəl]
údajně,allegedly [əˈledʒ.ɪd.li]
ambulance,ambulance [ˈæm.bjə.ləns]
zahanbený,ashamed [əˈʃeɪmd]
hlasování,ballot [ˈbæl.ət]
požehnání,blessing [ˈbles.ɪŋ]
hřbitov,cemetery [ˈsem.ə.ter.i]
cheat,cheat [tʃiːt]
Chile,chile [ˈtʃɪl.i]
kompaktní,compact [kəmˈpækt]
konzultace,consulting [kənˈsʌl.t̬ɪŋ]
deficit,deficit [ˈdef.ə.sɪt]
démon,demon [ˈdiː.mən]
demonstrace,demonstration [ˌdem.ənˈstreɪ.ʃən]
detekovat,detect [dɪˈtekt]
detekce,detection [dɪˈtek.ʃən]
panenka,doll [dɑːl]
darovat,donate [ˈdoʊ.neɪt]
propracovaný,elaborate [iˈlæb.ɚ.ət]
vlákno,fiber [ˈfaɪ.bɚ]
potraviny,grocery [ˈɡroʊ.sɚ.i]
na půli cesty,halfway [ˌhæfˈweɪ]
pata,heel [hiːl]
trup,hull [hʌl]
indikace,indication [ˌɪn.dəˈkeɪ.ʃən]
trvat,insist [ɪnˈsɪst]
intenzivní,intensive [ɪnˈten.sɪv]
interaktivní,interactive [ˌɪn.t̬ɚˈræk.tɪv]
intimní,intimate [ˈɪn.tə.mət]
prádelna,laundry [ˈlɑːn.dri]
válečný,martial [ˈmɑːr.ʃəl]
severovýchod,northeast [ˌnɔːrθˈiːst]
heslo,password [ˈpæs.wɝːd]
politicky,politically [pəˈlɪt̬.ə.kəl.i]
pravděpodobně,presumably [prɪˈzuː.mə.bli]
vyslovit,pronounce [prəˈnaʊns]
stíhání,prosecution [ˌprɑː.səˈkjuː.ʃən]
puls,pulse [pʌls]
racionální,rational [ˈræʃ.ən.əl]
křičet,shout [ʃaʊt]
zadejte,specify [ˈspes.ə.faɪ]
velkolepý,spectacular [spekˈtæk.jə.lɚ]
pruh,streak [striːk]
předplatné,subscription [səbˈskrɪp.ʃən]
technologický,technological [ˌtek.nəˈlɑː.dʒɪ.kəl]
dočasně,temporarily [ˈtem.pə.rer.əl.i]
tolerance,tolerance [ˈtɑː.lɚ.əns]
tradičně,traditionally [trəˈdɪʃ.ən.əl.i]
nešťastný,unhappy [ʌnˈhæp.i]
dosáhnout,accomplish [əˈkɑːm.plɪʃ]
adekvátní,adequate [ˈæd.ə.kwət]
změnit,alter [ˈɑːl.tɚ]
omluva,apology [əˈpɑː.lə.dʒi]
atribut,attribute [ˈæt.rɪ.bjuːt]
žebrat,beg [beɡ]
zápas,bout [baʊt]
mosaz,brass [bræs]
